bot_name,bankroll,total_bets,total_winnings
StartingGateSally,18260.17316138235,6152,14412.173161382349
PaddockPete,6080.0,3920,0.0
FirstTurnFrank,8803.7552,5647,4450.7552
BackstretchBarry,11712.953700000002,6086,7798.9537
HomestretchHarry,7065.677,4841,1906.677
GrandstandGus,5988.0,4012,0.0
ClubhouseClara,8651.406948476457,4706,3357.406948476454
BagginsTheBookie,10000.0,0,0.0
SniperSam,20000.0,0,0.0
DailyDoubleDoug,4794.0,15206,0.0
PhotoFinishPhil,14361.0,5639,0.0
