bot_name,bankroll,total_bets,total_winnings
StartingGateSally,11965.3794,295,2260.3794
PaddockPete,9607.0,393,0.0
FirstTurnFrank,9804.0,196,0.0
BackstretchBarry,9686.0,314,0.0
HomestretchHarry,9574.0,426,0.0
GrandstandGus,9500.0,500,0.0
ClubhouseClara,9870.0,130,0.0
BagginsTheBookie,10000.0,0,0.0
SniperSam,20000.0,0,0.0
DailyDoubleDoug,20000.0,0,0.0
PhotoFinishPhil,20000.0,0,0.0
