inGameName,nudge_bonus
AO,0.0775622930509252
CashBaggins,0.2543550138668977
Claimses,0.028207380642360398
Dill Dough,0.2960214782071756
Epidemic,0.1793946932499995
Ermereas,-0.2771049805682867
Eunoia,-0.0030981372708331996
Gearras,-0.0386564105347218
GhostlyInsomnia,-0.146758541293981
Iyy,0.1707506749641198
Kei,0.3366970651099532
Keyevin,-0.12823809495833272
Kino,-0.1324689644398145
Kurumi,0.0813376715891196
Maslow,0.24687861654398108
Pygums,-0.0691536801620363
Ray,-0.1425493493414346
SmillBisser,-0.2774474348090274
StarLight,-0.3491977050115736
Top,-0.3491977050115736
Trainer#3487,0.22486209317824019
Twice,0.2334013696956013
Walzy,-0.2212347570763884
WaveofGratitude,0.2239397356296291
Wither,-0.0372746817650463
Yuto,0.2724245177060182
cinciol,-0.3168692808831014
d,-0.18213673132638838
gumgum,0.2178451656319441
s,-0.1722913146134256
